x,$h=1$,$h=3$,$h=5$,$h=7$,$h=9$,$h=15$
0.0,0.047622608842485877,0.04007201518664925,0.03549430441229868,0.02891042973404012,0.03241629475278674,0.029589584120460498
0.06283185307179587,0.0511579406433185,0.045688128831101536,0.041783043681760085,0.035509018404846895,0.04031477547010949,0.039902064748950083
0.12566370614359174,0.05239357878698839,0.04956624373257935,0.05345550416035707,0.04882122542662468,0.054410978900118555,0.05716618411146187
0.1884955592153876,0.05392984821461335,0.06014618518669572,0.06731898173917353,0.06490308751515984,0.07532046997461346,0.08531295774915065
0.25132741228718347,0.06072263357939813,0.07377037347337677,0.08257014309440405,0.0929736283462859,0.10936301778681798,0.12652609712727972
0.3141592653589793,0.06622235895692186,0.09003687800588883,0.10912817794802018,0.12112388556544809,0.14202794804532504,0.17348693991425365
0.3769911184307752,0.07112260222878587,0.10467769343669577,0.13591800411869262,0.16143596167130295,0.188616154022678,0.23132095830327126
0.4398229715025711,0.07756552761612627,0.126900652222247,0.17258763175751743,0.20708241399169708,0.24529203165590935,0.29884049991600803
0.5026548245743669,0.0860140240768391,0.15211039053136782,0.20956393616081456,0.2577844915225301,0.3019223948667414,0.37608461116464026
0.5654866776461628,0.1004684171847396,0.18091250963540573,0.2549338666118962,0.3138561348158161,0.37081580980381107,0.46562143211262724
0.6283185307179586,0.11243941831367107,0.21657414513459522,0.3035143264163331,0.3753730291453777,0.44250978288496673,0.5624961415363176
0.6911503837897546,0.11994747816323988,0.2495058279582743,0.3561932112246752,0.44503142135710155,0.527056330117594,0.670886800148537
0.7539822368615504,0.13735686626130414,0.28243463392391593,0.41618182060896475,0.5202974256116422,0.6165383630095285,0.7888569129218687
0.8168140899333463,0.15052361908354628,0.3259177068898773,0.4762921977165429,0.6013506886521107,0.7131481502081257,0.9145126561226122
0.8796459430051422,0.16630354082464266,0.3696442551218474,0.5448637727918032,0.690948482765186,0.8182058714083489,1.048170587333182
0.942477796076938,0.18572157735095882,0.41956936429265257,0.616484892304134,0.7825685419239082,0.9260143665990672,1.1977592808646127
1.0053096491487339,0.20651393468080378,0.46733584051484783,0.6972015797293151,0.8783935329748738,1.0469932399975967,1.352543071626033
1.0681415022205298,0.22329844227241671,0.5228546081524698,0.7771996087815229,0.9890559576960976,1.176469655371154,1.521851887370326
1.1309733552923256,0.24479043716148108,0.57807399825759,0.8593488489450245,1.101252346945177,1.304157730887184,1.698049256996346
1.1938052083641215,0.2658643561843007,0.6363652162226725,0.9520831075559612,1.21345745259479,1.4444146675731395,1.8814326616494272
1.2566370614359172,0.2911347237945431,0.6968833405928097,1.0397633049515829,1.3348912851507748,1.5881455034794028,2.0806197067060936
1.3194689145077132,0.31162452556712217,0.7631169537381546,1.1398246318625755,1.4594538015946648,1.7387428185326395,2.2833587691286454
1.3823007675795091,0.34125878805266885,0.8302491445137864,1.240267747935127,1.5921071747349524,1.8938502756014628,2.49852389296821
1.4451326206513049,0.3657964908291848,0.8966852124892504,1.3458093563891813,1.7288545133761928,2.055095271925498,2.708588239449307
1.5079644737231008,0.39463095210492577,0.9683986862202174,1.4526183109767,1.8650746870060988,2.217853871876291,2.9384241544448453
1.5707963267948968,0.4176607042217957,1.0465035680293973,1.5685492735643871,2.0064193201598473,2.3886265470154173,3.1701363957936644
1.6336281798666925,0.45350546213760745,1.120357468011296,1.6798412154820468,2.1567414347828535,2.574439326020918,3.4129885710556955
1.6964600329384885,0.4832255806007646,1.1953158517868425,1.8012787272761535,2.297633068945638,2.7324478103715863,3.643540212076884
1.7592918860102844,0.5156526696656638,1.2761537508836172,1.9122627448546936,2.453919752608519,2.9174881507881465,3.8808771504570467
1.8221237390820801,0.5441701091801633,1.3561029016675215,2.0298337584440254,2.603408234498269,3.0983514415571545,4.132495351482922
1.884955592153876,0.5802903994128171,1.4376812896099602,2.1454519978643987,2.749735056946176,3.2815473434794717,4.385099102191109
1.9477874452256718,0.6137852876395563,1.513266994429487,2.2650190135216435,2.9007947668767726,3.449183657876313,4.629216685561085
2.0106192982974678,0.6475199041459557,1.5904544881734146,2.384974768583974,3.056075584025071,3.632158549704579,4.864469563797458
2.0734511513692637,0.68153865425981,1.6799864528201809,2.5012816144099377,3.2105660268638343,3.8211275889432117,5.128777078417909
2.1362830044410597,0.7138690834106811,1.7598367392616923,2.615367972555256,3.3441016585618315,3.9788514370415475,5.367551346469882
2.199114857512855,0.7441538774663136,1.8352393550018402,2.7397606676482416,3.494634230241458,4.146055660422984,5.562152692019067
2.261946710584651,0.7776083865517998,1.9120996684424743,2.842565609684081,3.6247326361271552,4.3139673907971074,5.7851006997995
2.324778563656447,0.8084620943868677,1.9854841589172212,2.9288568515566893,3.763442238664122,4.502577907154654,6.027405079482288
2.387610416728243,0.8439690727690777,2.06215886720755,3.0484423994785095,3.8881877574998907,4.640533164253756,6.234353050649061
2.450442269800039,0.8776431521770054,2.1268194286142124,3.145234182368382,4.007017895547803,4.7685454008818855,6.421691333791607
2.5132741228718345,0.9066351172725804,2.191411007408638,3.2298150010555298,4.131583794692534,4.876198598976459,6.555096882258632
2.5761059759436304,0.9337542888180278,2.255475824187106,3.3138004403247696,4.236779343643078,5.005715257432146,6.714499607058159
2.6389378290154264,0.9530994863252267,2.306422072959245,3.401100869854372,4.331587425997847,5.141209295894452,6.904336475570646
2.7017696820872223,0.9816202279120465,2.357191696378472,3.474966874549437,4.4095188973424735,5.248609061153046,6.98596089434272
2.7646015351590183,0.9984396874512675,2.4010445662351403,3.5406282877149238,4.483553215227982,5.3128576315157385,7.12594448281376
