x1,Hamming-like,x2,Rectified squared
0.13291038878599123,6.97184415973738e-08,0.1256644909406806,1.3081669206377147e-08
0.10380341849727304,6.853805692237419e-08,0.11502687747099481,1.940809659071413e-11
0.08418453222232468,6.215258193104423e-08,0.11494384032679066,-2.8355715872055024e-10
0.07122320492030326,5.320674805623349e-08,0.11494318726093869,-2.7657815535301074e-10
0.06277306614250196,4.3657303494432314e-08,0.1149431822194343,-1.9419798343477985e-10
0.05731144623442589,3.4687687177102534e-08,0.11494318218929582,-1.8943161436638947e-10
0.053801061040819026,2.6875781403421787e-08,0.11494318216930735,-1.859167551954684e-10
0.051552857137613706,2.040356057957738e-08,0.11494318215091437,-1.8236586496362357e-10
0.05011627954460703,1.5227791738730638e-08,0.11494318213874731,-1.7983396274454164e-10
0.04919964024030684,1.1196575782841807e-08,0.1149431821284397,-1.7754621094495766e-10
0.0486152851181219,8.120333483795484e-09,0.11494318211898047,-1.753162156689638e-10
0.048242967856211884,5.810851229598955e-09,0.11494318211393688,-1.7408427020679878e-10
0.04800582912981101,4.100056194232642e-09,0.11494318210642654,-1.7214660412706288e-10
0.047854819238995615,2.846847570351249e-09,0.11494318210038822,-1.7051478218943948e-10
0.04775866675221841,1.937532147157423e-09,0.11494318209648924,-1.6942908922068637e-10
0.04769744687360623,1.2831429516022001e-09,0.11494318209638978,-1.6942979671812392e-10
0.047658469112274504,8.155776890640975e-10,0.11494318208914915,-1.6728020455271521e-10
0.047633652426286054,4.836072197821264e-10,0.11494318208625742,-1.663982581605075e-10
0.04761785161069078,2.492340167494567e-10,0.11494318208632885,-1.6644930100897973e-10
0.047607790912882385,8.459958172254147e-11,0.11494318208399945,-1.6572703323843243e-10
0.04760138483561928,-3.0521080734604515e-11,0.11494318207846284,-1.63894736686286e-10
0.047597305650991704,-1.1068500226660202e-10,0.11494318207748365,-1.6358101124464163e-10
0.04759470804825269,-1.663031782305435e-10,0.11494318207628033,-1.631821287688534e-10
0.0475930538370146,-2.0475326405111528e-10,0.11494318207436183,-1.625197754933248e-10
0.04759200035166,-2.312524364663015e-10,0.1149431820713729,-1.6144252983293202e-10
0.04759132940865895,-2.494555581773694e-10,0.11494318207101219,-1.6132891938414847e-10
0.04759090207949874,-2.6193635931825836e-10,0.11494318206896999,-1.6057136539071845e-10
0.047590629897538955,-2.704612664956368e-10,0.11494318206901454,-1.6061053826095771e-10
0.04759045652666572,-2.762688217579084e-10,0.11494318206691839,-1.5981298689928579e-10
0.04759034609007495,-2.802180969237696e-10,0.11494318206651237,-1.5967311726844737e-10
0.04759027573912811,-2.8288301611398253e-10,0.1149431820637039,-1.585454386287934e-10
0.04759023092168876,-2.8467706130261335e-10,0.11494318206618984,-1.595826235381803e-10
0.04759020236917831,-2.8586564037669953e-10,0.11494318206201168,-1.5787154196612022e-10
0.04759018417796149,-2.866252719313797e-10,0.1149431820628695,-1.5825355121566838e-10
0.047590172587535014,-2.8707177450819596e-10,0.11494318206092283,-1.5743714572736956e-10
0.04759016520241905,-2.87269441162955e-10,0.11494318205992435,-1.570128355010084e-10
0.04759016049659724,-2.872434103509539e-10,0.11494318205975397,-1.5695536448419558e-10
0.0475901574978911,-2.8697491532360445e-10,0.11494318206038971,-1.5725785666805517e-10
0.04759015558692651,-2.8640724622301464e-10,0.1149431820579713,-1.5618436247101496e-10
0.047590154369082434,-2.8542817829599375e-10,0.11494318206000939,-1.5712506700534067e-10
0.0475901535929228,-2.838726078775872e-10,0.11494318205883465,-1.566142153080494e-10
0.04759015309823547,-2.8147668289776707e-10,0.11494318205827189,-1.5637318915486886e-10
0.047590152782930474,-2.7790686380611065e-10,0.11494318205827075,-1.5639256588222627e-10
0.04759015258195115,-2.7275619596335595e-10,0.11494318205504357,-1.5488358454034957e-10
0.047590152453838436,-2.656268388670314e-10,0.1149431820559129,-1.5531637451533272e-10
0.04759015237217012,-2.5626870430745627e-10,0.11494318205370131,-1.542458295681659e-10
