x,$y=1$,$y=0$
0.0,2.850658633158645e-25,1.0
1.2012012012012012,3.5195594485801696e-25,1.0
2.4024024024024024,4.343581190528249e-25,1.0
3.6036036036036037,5.358264270212675e-25,1.0
4.804804804804805,6.607191001537294e-25,1.0
6.006006006006006,8.14378202533691e-25,1.0
7.207207207207207,1.0033488728243633e-24,1.0
8.408408408408409,1.235646775597784e-24,1.0
9.60960960960961,1.5210842176677713e-24,1.0
10.81081081081081,1.871667620376433e-24,1.0
12.012012012012011,2.3020817450584903e-24,1.0
13.213213213213214,2.8302793437376377e-24,1.0
14.414414414414415,3.47819886810924e-24,1.0
15.615615615615615,4.272637658576635e-24,1.0
16.816816816816818,5.246313821818199e-24,1.0
18.01801801801802,6.439156994801628e-24,1.0
19.21921921921922,7.89987663139747e-24,1.0
20.42042042042042,9.687866630339577e-24,1.0
21.62162162162162,1.1875517405135364e-23,1.0
22.822822822822822,1.4551021303516773e-23,1.0
24.024024024024023,1.7821775127013428e-23,1.0
25.225225225225227,2.1818504992698292e-23,1.0
26.426426426426428,2.6700264653079635e-23,1.0
27.62762762762763,3.2660489525603137e-23,1.0
28.82882882882883,3.9934326132799115e-23,1.0
30.03003003003003,4.8807501677157054e-23,1.0
31.23123123123123,5.962705257771059e-23,1.0
32.432432432432435,7.28142957787853e-23,1.0
33.633633633633636,8.888050465714234e-23,1.0
34.83483483483484,1.0844584497159374e-22,1.0
36.03603603603604,1.3226223858684484e-22,1.0
37.23723723723724,1.6124095732078083e-22,1.0
38.43843843843844,1.9648591057692928e-22,1.0
39.63963963963964,2.3933378363422126e-22,1.0
40.84084084084084,2.914024147737779e-22,1.0
42.04204204204204,3.5464907620878553e-22,1.0
43.24324324324324,4.314406548358042e-22,1.0
44.44444444444444,5.246381245961681e-22,1.0
45.645645645645644,6.3769817515566015e-22,1.0
46.846846846846844,7.747954264504456e-22,1.0
48.048048048048045,9.409693329589989e-22,1.0
49.24924924924925,1.1423006861780927e-21,1.0
50.450450450450454,1.3861235834387443e-21,1.0
51.651651651651655,1.6812798752246722e-21,1.0
52.852852852852855,2.038424466334957e-21,1.0
54.054054054054056,2.4703914697732627e-21,1.0
55.25525525525526,2.992633144969156e-21,1.0
56.45645645645646,3.6237458516288986e-21,1.0
57.65765765765766,4.386099985564992e-21,1.0
58.85885885885886,5.306594114136381e-21,1.0
60.06006006006006,6.417557392064005e-21,1.0
61.26126126126126,7.75782892632354e-21,1.0
62.46246246246246,9.374048204980178e-21,1.0
63.66366366366366,1.132219716667878e-20,1.0
